SOLUTION TO PART 1: 2,0,7,3,0,3,1,3,7
2024-12-18 00:48:43.061517465 +0100 CET m=+2.000145147                 >> a:   4400925371333, da:        20990508, dt: 2000 ms, da/dt: 10495 per ms
2024-12-18 00:55:01.06151688 +0100 CET m=+380.000144563                >> a:   4404430063607, da:        18513899, dt: 1999 ms, da/dt: 9261 per ms
2024-12-18 00:55:03.061517358 +0100 CET m=+382.000145041               >> a:   4404448922222, da:        18858615, dt: 2000 ms, da/dt: 9429 per ms
2024-12-18 00:55:05.061516995 +0100 CET m=+384.000144679               >> a:   4404467738392, da:        18816170, dt: 1999 ms, da/dt: 9412 per ms
2024-12-18 00:55:07.061516912 +0100 CET m=+386.000144595               >> a:   4404486367818, da:        18629426, dt: 1999 ms, da/dt: 9319 per ms
2024-12-18 00:55:09.061517364 +0100 CET m=+388.000145047               >> a:   4404505113531, da:        18745713, dt: 2000 ms, da/dt: 9372 per ms
2024-12-18 00:55:11.061517364 +0100 CET m=+390.000145049               >> a:   4404523739419, da:        18625888, dt: 2000 ms, da/dt: 9312 per ms
2024-12-18 00:55:13.061517047 +0100 CET m=+392.000144731               >> a:   4404542596587, da:        18857168, dt: 1999 ms, da/dt: 9433 per ms
2024-12-18 00:55:15.061517352 +0100 CET m=+394.000145036               >> a:   4404561501055, da:        18904468, dt: 2000 ms, da/dt: 9452 per ms
2024-12-18 00:55:17.061517393 +0100 CET m=+396.000145074               >> a:   4404580188123, da:        18687068, dt: 2000 ms, da/dt: 9343 per ms
2024-12-18 00:55:19.061516967 +0100 CET m=+398.000144653               >> a:   4404599086403, da:        18898280, dt: 1999 ms, da/dt: 9453 per ms
2024-12-18 00:55:21.061517072 +0100 CET m=+400.000144755               >> a:   4404617064046, da:        17977643, dt: 2000 ms, da/dt: 8988 per ms
2024-12-18 00:55:23.06151743 +0100 CET m=+402.000145115                >> a:   4404635612383, da:        18548337, dt: 2000 ms, da/dt: 9274 per ms
2024-12-18 00:55:25.061517021 +0100 CET m=+404.000144705               >> a:   4404653585334, da:        17972951, dt: 1999 ms, da/dt: 8990 per ms
2024-12-18 00:55:27.061517134 +0100 CET m=+406.000144817               >> a:   4404671411256, da:        17825922, dt: 2000 ms, da/dt: 8912 per ms
2024-12-18 00:55:29.061517421 +0100 CET m=+408.000145106               >> a:   4404689089403, da:        17678147, dt: 2000 ms, da/dt: 8839 per ms
2024-12-18 00:55:31.061517481 +0100 CET m=+410.000145166               >> a:   4404707638070, da:        18548667, dt: 2000 ms, da/dt: 9274 per ms
2024-12-18 00:55:33.061517491 +0100 CET m=+412.000145176               >> a:   4404726386697, da:        18748627, dt: 2000 ms, da/dt: 9374 per ms
2024-12-18 00:55:35.061517131 +0100 CET m=+414.000144816               >> a:   4404745219194, da:        18832497, dt: 1999 ms, da/dt: 9420 per ms
2024-12-18 00:55:37.061516907 +0100 CET m=+416.000144589               >> a:   4404763875124, da:        18655930, dt: 1999 ms, da/dt: 9332 per ms
2024-12-18 00:55:39.061516886 +0100 CET m=+418.000144571               >> a:   4404782694023, da:        18818899, dt: 1999 ms, da/dt: 9414 per ms
2024-12-18 00:55:41.061517238 +0100 CET m=+420.000144922               >> a:   4404801380065, da:        18686042, dt: 2000 ms, da/dt: 9343 per ms
2024-12-18 00:55:43.061516915 +0100 CET m=+422.000144599               >> a:   4404820101770, da:        18721705, dt: 1999 ms, da/dt: 9365 per ms
2024-12-18 00:55:45.061516714 +0100 CET m=+424.000144399               >> a:   4404838933122, da:        18831352, dt: 1999 ms, da/dt: 9420 per ms
2024-12-18 00:55:47.06151716 +0100 CET m=+426.000144842                >> a:   4404857473491, da:        18540369, dt: 2000 ms, da/dt: 9270 per ms
2024-12-18 00:55:49.061516888 +0100 CET m=+428.000144570               >> a:   4404876274261, da:        18800770, dt: 1999 ms, da/dt: 9405 per ms
2024-12-18 00:55:51.061517022 +0100 CET m=+430.000144707               >> a:   4404894928389, da:        18654128, dt: 2000 ms, da/dt: 9327 per ms
2024-12-18 00:55:53.061517361 +0100 CET m=+432.000145045               >> a:   4404913514428, da:        18586039, dt: 2000 ms, da/dt: 9293 per ms
2024-12-18 00:55:55.061517343 +0100 CET m=+434.000145028               >> a:   4404932181035, da:        18666607, dt: 1999 ms, da/dt: 9337 per ms
2024-12-18 00:55:57.061517473 +0100 CET m=+436.000145156               >> a:   4404950641328, da:        18460293, dt: 2000 ms, da/dt: 9230 per ms
2024-12-18 00:55:59.061517018 +0100 CET m=+438.000144702               >> a:   4404969280723, da:        18639395, dt: 1999 ms, da/dt: 9324 per ms
2024-12-18 00:56:01.061517399 +0100 CET m=+440.000145082               >> a:   4404987878642, da:        18597919, dt: 2000 ms, da/dt: 9298 per ms
2024-12-18 00:56:03.06151706 +0100 CET m=+442.000144746                >> a:   4405006232004, da:        18353362, dt: 1999 ms, da/dt: 9181 per ms
2024-12-18 00:56:05.061517122 +0100 CET m=+444.000144805               >> a:   4405024881406, da:        18649402, dt: 2000 ms, da/dt: 9324 per ms
2024-12-18 00:56:07.061517243 +0100 CET m=+446.000144926               >> a:   4405043279501, da:        18398095, dt: 2000 ms, da/dt: 9199 per ms
2024-12-18 00:56:09.061517052 +0100 CET m=+448.000144735               >> a:   4405061887735, da:        18608234, dt: 1999 ms, da/dt: 9308 per ms
2024-12-18 00:56:11.0615176 +0100 CET m=+450.000145285                 >> a:   4405080528439, da:        18640704, dt: 2000 ms, da/dt: 9320 per ms
2024-12-18 00:56:13.06151712 +0100 CET m=+452.000144805                >> a:   4405098780435, da:        18251996, dt: 1999 ms, da/dt: 9130 per ms
2024-12-18 00:56:15.061517057 +0100 CET m=+454.000144741               >> a:   4405117357623, da:        18577188, dt: 1999 ms, da/dt: 9293 per ms
2024-12-18 00:56:17.061517171 +0100 CET m=+456.000144855               >> a:   4405135666914, da:        18309291, dt: 2000 ms, da/dt: 9154 per ms
2024-12-18 00:56:19.061517363 +0100 CET m=+458.000145046               >> a:   4405154264419, da:        18597505, dt: 2000 ms, da/dt: 9298 per ms
2024-12-18 00:56:21.061517466 +0100 CET m=+460.000145152               >> a:   4405172281867, da:        18017448, dt: 2000 ms, da/dt: 9008 per ms
2024-12-18 00:56:23.061517482 +0100 CET m=+462.000145168               >> a:   4405190677886, da:        18396019, dt: 2000 ms, da/dt: 9198 per ms
2024-12-18 00:56:25.061517381 +0100 CET m=+464.000145064               >> a:   4405209403798, da:        18725912, dt: 1999 ms, da/dt: 9367 per ms
2024-12-18 00:56:27.061516998 +0100 CET m=+466.000144680               >> a:   4405227841506, da:        18437708, dt: 1999 ms, da/dt: 9223 per ms
2024-12-18 00:56:29.061516963 +0100 CET m=+468.000144646               >> a:   4405246634446, da:        18792940, dt: 1999 ms, da/dt: 9401 per ms
2024-12-18 00:56:31.061516857 +0100 CET m=+470.000144540               >> a:   4405265429052, da:        18794606, dt: 1999 ms, da/dt: 9402 per ms
2024-12-18 00:56:33.061517242 +0100 CET m=+472.000144926               >> a:   4405283980070, da:        18551018, dt: 2000 ms, da/dt: 9275 per ms
2024-12-18 00:56:35.061517049 +0100 CET m=+474.000144731               >> a:   4405302769765, da:        18789695, dt: 1999 ms, da/dt: 9399 per ms
2024-12-18 00:56:37.061517138 +0100 CET m=+476.000144823               >> a:   4405321365569, da:        18595804, dt: 2000 ms, da/dt: 9297 per ms
2024-12-18 00:56:39.06151698 +0100 CET m=+478.000144663                >> a:   4405340117269, da:        18751700, dt: 1999 ms, da/dt: 9380 per ms
2024-12-18 00:56:41.061516764 +0100 CET m=+480.000144449               >> a:   4405358980868, da:        18863599, dt: 1999 ms, da/dt: 9436 per ms
2024-12-18 00:56:43.061516913 +0100 CET m=+482.000144596               >> a:   4405377537813, da:        18556945, dt: 2000 ms, da/dt: 9278 per ms
2024-12-18 00:56:45.061517144 +0100 CET m=+484.000144831               >> a:   4405396349642, da:        18811829, dt: 2000 ms, da/dt: 9405 per ms
2024-12-18 00:56:47.061517381 +0100 CET m=+486.000145064               >> a:   4405415028943, da:        18679301, dt: 2000 ms, da/dt: 9339 per ms
2024-12-18 00:56:49.0615171 +0100 CET m=+488.000144783                 >> a:   4405433677600, da:        18648657, dt: 1999 ms, da/dt: 9328 per ms
2024-12-18 00:56:51.061516895 +0100 CET m=+490.000144578               >> a:   4405452582436, da:        18904836, dt: 1999 ms, da/dt: 9457 per ms
2024-12-18 00:56:53.061517328 +0100 CET m=+492.000145011               >> a:   4405471175796, da:        18593360, dt: 2000 ms, da/dt: 9296 per ms
2024-12-18 00:56:55.061516989 +0100 CET m=+494.000144672               >> a:   4405490041916, da:        18866120, dt: 1999 ms, da/dt: 9437 per ms
2024-12-18 00:56:57.061517353 +0100 CET m=+496.000145036               >> a:   4405508826895, da:        18784979, dt: 2000 ms, da/dt: 9392 per ms
2024-12-18 00:56:59.061517355 +0100 CET m=+498.000145041               >> a:   4405527263443, da:        18436548, dt: 2000 ms, da/dt: 9218 per ms
2024-12-18 00:57:01.061517096 +0100 CET m=+500.000144779               >> a:   4405546077001, da:        18813558, dt: 1999 ms, da/dt: 9411 per ms
2024-12-18 00:57:03.061517067 +0100 CET m=+502.000144750               >> a:   4405564740555, da:        18663554, dt: 1999 ms, da/dt: 9336 per ms
2024-12-18 00:57:05.061516805 +0100 CET m=+504.000144488               >> a:   4405583642511, da:        18901956, dt: 1999 ms, da/dt: 9455 per ms
2024-12-18 00:57:07.061517139 +0100 CET m=+506.000144824               >> a:   4405602460908, da:        18818397, dt: 2000 ms, da/dt: 9409 per ms
2024-12-18 00:57:09.061516798 +0100 CET m=+508.000144481               >> a:   4405621128824, da:        18667916, dt: 1999 ms, da/dt: 9338 per ms
2024-12-18 00:57:11.061516712 +0100 CET m=+510.000144394               >> a:   4405640023259, da:        18894435, dt: 1999 ms, da/dt: 9451 per ms
2024-12-18 00:57:13.061517019 +0100 CET m=+512.000144704               >> a:   4405658537679, da:        18514420, dt: 2000 ms, da/dt: 9257 per ms
2024-12-18 00:57:15.061517464 +0100 CET m=+514.000145150               >> a:   4405677444841, da:        18907162, dt: 2000 ms, da/dt: 9453 per ms
2024-12-18 00:57:17.061516944 +0100 CET m=+516.000144627               >> a:   4405696313461, da:        18868620, dt: 1999 ms, da/dt: 9439 per ms
2024-12-18 00:57:19.061517356 +0100 CET m=+518.000145040               >> a:   4405714920886, da:        18607425, dt: 2000 ms, da/dt: 9303 per ms
2024-12-18 00:57:21.061517241 +0100 CET m=+520.000144924               >> a:   4405733461700, da:        18540814, dt: 1999 ms, da/dt: 9275 per ms
2024-12-18 00:57:23.061517229 +0100 CET m=+522.000144912               >> a:   4405751978759, da:        18517059, dt: 1999 ms, da/dt: 9263 per ms
2024-12-18 00:57:25.061517005 +0100 CET m=+524.000144689               >> a:   4405770864805, da:        18886046, dt: 1999 ms, da/dt: 9447 per ms
2024-12-18 00:57:27.061517193 +0100 CET m=+526.000144877               >> a:   4405789741056, da:        18876251, dt: 2000 ms, da/dt: 9438 per ms
2024-12-18 00:57:29.061516882 +0100 CET m=+528.000144565               >> a:   4405808346676, da:        18605620, dt: 1999 ms, da/dt: 9307 per ms
2024-12-18 00:57:31.061516977 +0100 CET m=+530.000144662               >> a:   4405827214880, da:        18868204, dt: 2000 ms, da/dt: 9434 per ms
2024-12-18 00:57:33.061516886 +0100 CET m=+532.000144569               >> a:   4405845510377, da:        18295497, dt: 1999 ms, da/dt: 9152 per ms
2024-12-18 00:57:35.061517541 +0100 CET m=+534.000145224               >> a:   4405863966155, da:        18455778, dt: 2000 ms, da/dt: 9227 per ms
2024-12-18 00:57:37.061517046 +0100 CET m=+536.000144730               >> a:   4405882637314, da:        18671159, dt: 1999 ms, da/dt: 9340 per ms
2024-12-18 00:57:39.061517391 +0100 CET m=+538.000145074               >> a:   4405900906130, da:        18268816, dt: 2000 ms, da/dt: 9134 per ms
2024-12-18 00:57:41.06151754 +0100 CET m=+540.000145225                >> a:   4405919546526, da:        18640396, dt: 2000 ms, da/dt: 9320 per ms
2024-12-18 00:57:43.061517326 +0100 CET m=+542.000145009               >> a:   4405937907489, da:        18360963, dt: 1999 ms, da/dt: 9185 per ms
2024-12-18 00:57:45.061517302 +0100 CET m=+544.000144989               >> a:   4405956060034, da:        18152545, dt: 1999 ms, da/dt: 9080 per ms
